BenefitID,Outcome,ValueMeasurementUnit,BaselineTargetValue,CurrentTargetValue,ActualValue,Source,Owner,StartDate,OriginalEstimatedCompletionDate,CurrentEstimatedCompletionDate,MonitoringPlan,RAGStatus,ProjectSource,BenefitRecordedDate,Narrative,BenefitStage,Location
167,Financial Damages (Environmental) Reduced,Pounds [Thousands] (£k),204,144,196,Source_2,Lori Perez,02/04/2023,11/11/2023,21/10/2023,Fortnightly,G,Project_Charlie,30/06/2023,,In-Progress,"32.377056829281756, -26.617438670827596"
168,Non-Residential Area (Public Services) - Schools (Secondary) Created,Number,3,2,1,Source_1,Ana Jones,09/01/2023,03/07/2023,13/06/2023,Daily,A,Project_Golf,19/06/2023,,In-Progress,"36.990948289230886, -22.888893326987446"
169,Flood Risk (Rivers) Better Protected,Hectare (ha),512,360,451,Source_4,Juan Ramirez,27/02/2023,19/07/2023,08/07/2023,Monthly,A,Project_Hotel,08/07/2023,,In-Progress,"37.88084439732238, -21.989623169700284"
170,Non-Residential Area (Public Services) - Schools (Secondary) Enhanced,Number,3,2,2,Source_1,Cody Gardner,14/11/2022,03/07/2023,13/06/2023,Monthly,G,Project_Echo,03/07/2023,,Completion,"34.163767402126375, -24.47167566719676"
171,Non-Residential Area (Transport) - Bus Stations Better Protected,Number,69,58,32,Source_2,Johnny Hernandez DDS,08/08/2023,14/10/2023,30/09/2023,Fortnightly,R,Project_Bravo,29/06/2023,,Not Started,"31.398059767514592, -27.023901444428866"
172,Residential Area - Houses Better Protected,Number,4114,3600,4081,Source_2,Lori Perez,07/05/2023,09/09/2023,08/10/2023,Fortnightly,G,Project_Charlie,27/06/2023,,In-Progress,"32.36829889873871, -26.38117146624128"
173,Residential Area - Mixed Created,Number,4316,5040,1506,Source_2,Andrew Valentine,01/05/2023,05/07/2023,15/06/2023,Weekly,A,Project_Bravo,21/06/2023,,In-Progress,"31.092139228840743, -27.862543474702107"
174,Biodiversity - Rivers Better Protected,Kilometre (km),364,432,441,Source_2,Larry Sullivan,26/03/2023,09/12/2023,27/11/2023,Quarterly,G,Project_Alpha,08/09/2023,,Completion,"30.404296541028774, -28.9043678526768"
175,Non-Residential Area (Public Services) - Nurseries Better Protected,Number,4,4,1,Source_3,Meredith Abbott,25/10/2022,05/01/2023,23/12/2022,Weekly,G,Project_Foxtrot,22/06/2023,,Completion,"35.29738258189207, -23.709436545423475"
176,Heritage - Listed Building Better Protected,Number,0,1,1,Source_1,Samuel Curry,21/11/2022,16/05/2023,05/05/2023,Monthly,G,Project_Foxtrot,07/07/2023,,Completion,"35.92734364247948, -23.8296326811172"
177,Non-Residential Area (Public Services) - Police Stations Created,Number,3,2,0,Source_2,Madison Bennett,31/03/2023,28/10/2023,08/11/2023,Weekly,G,Project_Charlie,19/06/2023,,In-Progress,"32.74403023697585, -26.229791555653392"
178,Local Community - Minorty Population and Inclusivity Enhanced,Pounds [Thousands] per person (£k / person),228,360,202,Source_3,Andrew Valentine,14/05/2023,14/11/2023,29/08/2023,Fortnightly,G,Project_Bravo,30/06/2023,,In-Progress,"31.623930889351087, -27.008335806792356"
179,Residential Area - Flats Better Protected,Number,1741,3240,3689,Source_2,Alexis Hernandez,02/01/2023,23/06/2023,08/08/2023,Fortnightly,G,Project_Charlie,02/07/2023,,In-Progress,"32.463252823783336, -26.248666109639707"
180,Non-Residential Area (Commerce) - Leisure Centres Better Protected,Number,6,6,1,Source_1,Samuel Curry,18/02/2023,01/06/2023,07/03/2023,Monthly,G,Project_Foxtrot,11/07/2023,,Completion,"35.51728413577862, -23.211947333070942"
181,Non-Residential Area (Transport) - Train Stations Better Protected,Number,15,11,0,Source_1,Madison Bennett,02/01/2023,22/01/2023,18/01/2023,Quarterly,G,Project_Charlie,25/08/2023,,Completion,"32.69665138327802, -26.18554847826804"
182,Residential Area - Mobile Homes Better Protected,Number,824,1080,62,Source_5,Juan Ramirez,19/11/2022,07/11/2023,05/11/2023,Weekly,G,Project_Hotel,23/06/2023,,In-Progress,"37.67205026178294, -21.90271399209829"
183,Transport - Railway Lines Enhanced,Kilometre (km),307,216,136,Source_1,Ana Jones,09/01/2023,28/04/2023,09/03/2023,Fortnightly,G,Project_Golf,30/06/2023,,Completion,"36.25587317415189, -22.93517168302182"
184,Non-Residential Area (Industry) - Offices Created,Number,127,216,83,Source_1,Tonya Rodriguez,08/02/2023,24/02/2023,07/03/2023,Quarterly,G,Project_Golf,25/06/2023,,Completion,"36.869429915295925, -22.64109837223301"
185,Non-Residential Area (Utility) - Power and Sub-Station Structures Enhanced,Number,9,15,6,Source_1,Madison Bennett,08/09/2023,22/12/2023,20/11/2023,Monthly,R,Project_Charlie,13/07/2023,,Not Started,"32.67051730447889, -26.12460946644263"
186,Residential Area - Houses Better Protected,Number,4114,3600,3633,Source_2,Ana Jones,19/05/2023,09/09/2023,08/10/2023,Weekly,G,Project_Golf,25/06/2023,,In-Progress,"36.629889518803125, -22.38119989589774"
187,Non-Residential Area (Commerce) - Sports Centres Enhanced,Number,5,3,3,Source_2,Larry Sullivan,10/09/2023,16/10/2023,13/09/2023,Weekly,R,Project_Alpha,20/06/2023,,Not Started,"30.900365879942175, -28.52992021454956"
188,Non-Residential Area (Public Services) - GP Surgeries Enhanced,Number,3,3,0,Source_3,Samuel Curry,13/12/2022,17/09/2023,24/10/2023,Fortnightly,G,Project_Foxtrot,23/06/2023,,Completion,"35.200393734553465, -23.724805647040807"
189,Non-Residential Area (Utility) - Power and Sub-Station Structures Better Protected,Number,9,15,10,Source_2,Brianna Little,15/07/2023,22/12/2023,20/11/2023,Fortnightly,R,Project_Delta,20/06/2023,,Not Started,"33.86388495682714, -25.844798591319595"
190,Non-Residential Area (Public Services) - Schools (Primary) Created,Number,0,3,3,Source_1,Rachel Smith,06/04/2023,09/08/2023,21/07/2023,Fortnightly,G,Project_Charlie,27/06/2023,,Completion,"32.67952395424666, -26.610114875067623"
191,Non-Residential Area (Industry) - Offices Created,Number,127,216,182,Source_2,Alexis Hernandez,04/01/2023,24/02/2023,07/03/2023,Daily,G,Project_Charlie,19/06/2023,,Completion,"32.6281558350688, -26.916869684020593"
192,Non-Residential Area (Public Services) - Fire Stations Better Protected,Number,3,2,2,Source_1,Evelyn Guzman,25/04/2023,24/07/2023,25/09/2023,Monthly,G,Project_Foxtrot,01/07/2023,,In-Progress,"35.06699661860084, -23.03689228279736"
193,Non-Residential Area (Public Services) - Hospitals Better Protected,Number,0,3,2,Source_2,Mariah Sweeney,31/03/2023,07/11/2023,19/09/2023,Weekly,G,Project_Hotel,21/06/2023,,In-Progress,"37.551440775055305, -21.25644255163771"
194,Heritage - Listed Building Better Protected,Number,0,1,0,Source_1,Johnny Hernandez DDS,21/01/2023,16/05/2023,05/05/2023,Quarterly,G,Project_Bravo,12/09/2023,,Completion,"31.235525999230834, -27.059791326014082"
195,Non-Residential Area (Utility) - Power and Sub-Station Structures Better Protected,Number,9,15,3,Source_2,James Walters,13/10/2023,22/12/2023,20/11/2023,Fortnightly,R,Project_Foxtrot,25/06/2023,,Not Started,"35.26887971069786, -23.01821838590933"
196,Non-Residential Area (Industry) - Warehouses Enhanced,Number,46,36,41,Source_2,Evelyn Guzman,27/12/2022,21/08/2023,23/10/2023,Fortnightly,G,Project_Foxtrot,25/06/2023,,In-Progress,"35.637894240319625, -23.539317362847324"
197,Non-Residential Area (Transport) - Ports and Harbours Better Protected,Number,0,2,2,Source_2,Rachel Smith,08/06/2023,26/10/2023,19/11/2023,Monthly,G,Project_Charlie,19/06/2023,,In-Progress,"32.227080298502706, -26.96539319513979"
198,Non-Residential Area (Transport) - Train Stations Created,Number,15,11,13,Source_3,Andrew Valentine,01/01/2023,22/01/2023,18/01/2023,Weekly,G,Project_Bravo,22/06/2023,,Completion,"31.1576968084913, -27.386252857858306"
199,Local Economy Enhanced,Pounds [Thousands] (£k),149,360,74,Source_1,Tonya Rodriguez,01/04/2023,10/06/2023,01/06/2023,Fortnightly,R,Project_Golf,01/07/2023,,In-Progress,"36.85045724431748, -22.018786590150352"
200,Residential Area - Mixed Better Protected,Number,4316,5040,605,Source_1,Jessica Nelson MD,31/05/2023,05/07/2023,15/06/2023,Weekly,A,Project_Echo,19/06/2023,,In-Progress,"34.06524238638611, -24.80394026296736"
201,Non-Residential Area (Commerce) - Shops Better Protected,Number,215,144,32,Source_1,Brianna Little,10/11/2022,16/03/2023,18/03/2023,Weekly,G,Project_Delta,25/06/2023,,Completion,"33.64929556919618, -25.660614372595493"
202,Non-Residential Area (Public Services) - Libraries Enhanced,Number,7,6,0,Source_1,Rodney Moore PhD,08/11/2022,19/06/2023,09/07/2023,Fortnightly,G,Project_Alpha,30/06/2023,,Completion,"30.850997375507742, -28.143757561872274"
203,Non-Residential Area (Public Services) - Post Offices Enhanced,Number,9,8,1,Source_1,Tonya Rodriguez,26/05/2023,13/08/2023,22/09/2023,Daily,G,Project_Golf,19/06/2023,,In-Progress,"36.17994677476508, -22.26926776384285"
204,Residential Area - Flats Enhanced,Number,1741,3240,3942,Source_1,Samuel Curry,19/10/2022,23/06/2023,08/08/2023,Fortnightly,G,Project_Foxtrot,21/06/2023,,In-Progress,"35.71880645132303, -23.886071564052845"
205,Non-Residential Area (Utility) - Telecom Structures Created,Number,130,144,124,Source_2,Larry Sullivan,02/04/2023,30/05/2023,23/05/2023,Fortnightly,R,Project_Alpha,29/06/2023,,In-Progress,"30.977752489779025, -28.051282466014776"
206,Non-Residential Area (Public Services) - Hospitals Enhanced,Number,0,3,0,Source_2,Brittney Johnson,01/03/2023,07/11/2023,19/09/2023,Weekly,G,Project_Charlie,19/06/2023,,In-Progress,"32.32229287844945, -26.72574171133324"
207,Heritage - Listed Building Better Protected,Number,0,1,1,Source_1,Brandon Wood,24/04/2023,16/05/2023,05/05/2023,Monthly,G,Project_Golf,10/07/2023,,Completion,"36.668135050233936, -22.938884560521682"
208,Non-Residential Area (Utility) - Oil and Gas Storage and Distribution Buildings Enhanced,Number,8,8,1,Source_5,Mrs. Amy Roberts,01/05/2023,04/12/2023,11/11/2023,Monthly,G,Project_Hotel,09/07/2023,,In-Progress,"37.40754760872837, -21.455978067405727"
209,Non-Residential Area (Public Services) - Nurseries Enhanced,Number,4,4,2,Source_3,Juan Ramirez,14/11/2022,05/01/2023,23/12/2022,Weekly,G,Project_Hotel,19/06/2023,,Completion,"37.41855622357134, -21.831544287894097"
210,Financial Damages (Environmental) Reduced,Pounds [Thousands] (£k),204,144,53,Source_4,Melissa Reyes,06/06/2023,11/11/2023,21/10/2023,Weekly,G,Project_Hotel,21/06/2023,,In-Progress,"37.6457677879453, -21.72109829834718"
211,Non-Residential Area (Commerce) - Sports Centres Enhanced,Number,5,3,1,Source_2,Meredith Abbott,18/08/2023,16/10/2023,13/09/2023,Fortnightly,R,Project_Foxtrot,20/06/2023,,Not Started,"35.10652918445378, -23.429219756756755"
212,Transport - Cycle Paths Enhanced,Kilometre (km),279,288,182,Source_1,Ana Jones,23/02/2023,28/08/2023,26/07/2023,Fortnightly,G,Project_Golf,23/06/2023,,Completion,"36.16745453881397, -22.96300074447366"
213,Non-Residential Area (Utility) - Water and Sewage Treatment Buildings Created,Number,10,8,8,Source_1,Tonya Rodriguez,21/04/2023,08/11/2023,16/12/2023,Fortnightly,G,Project_Golf,23/06/2023,,In-Progress,"36.73469307704999, -22.291560175572705"
214,Non-Residential Area (Transport) - Bus Stations Created,Number,69,58,36,Source_1,Ana Jones,15/09/2023,14/10/2023,30/09/2023,Fortnightly,R,Project_Golf,21/06/2023,,Not Started,"36.198492460991716, -22.982444557302014"
215,Transport - Cycle Paths Enhanced,Kilometre (km),279,288,214,Source_5,Juan Ramirez,04/02/2023,28/08/2023,26/07/2023,Monthly,G,Project_Hotel,30/06/2023,,Completion,"37.684830881740695, -21.738916841962773"
216,Non-Residential Area (Public Services) - Schools (Secondary) Enhanced,Number,3,2,2,Source_3,Tracey King,18/03/2023,03/07/2023,13/06/2023,Weekly,G,Project_Bravo,21/06/2023,,Completion,"31.618857379975115, -27.36458173522176"
217,Non-Residential Area (Administrative) - Administrative Buildings Enhanced,Number,4,3,3,Source_2,Tracey King,03/01/2023,01/03/2023,18/02/2023,Fortnightly,G,Project_Bravo,22/06/2023,,Completion,"31.266351963348658, -27.9171508338253"
218,Residential Area - Mixed Created,Number,4316,5040,752,Source_1,Samuel Curry,03/05/2023,05/07/2023,15/06/2023,Weekly,A,Project_Foxtrot,19/06/2023,,In-Progress,"35.73310276851878, -23.938624382580585"
219,Non-Residential Area (Public Services) - Schools (Primary) Better Protected,Number,0,3,2,Source_2,Rodney Moore PhD,16/03/2023,09/08/2023,21/07/2023,Daily,G,Project_Alpha,19/06/2023,,Completion,"30.854087690801695, -28.017930652112085"
220,Local Community - Physical health Enhanced,Pounds [Thousands] per person (£k / person),306,360,316,Source_2,Ana Jones,11/01/2023,06/05/2023,16/06/2023,Quarterly,G,Project_Golf,10/07/2023,,Completion,"36.52249019872734, -22.435032323044368"
221,Non-Residential Area (Utility) - Telecom Structures Enhanced,Number,130,144,181,Source_2,Meredith Abbott,07/03/2023,30/05/2023,23/05/2023,Quarterly,G,Project_Foxtrot,09/08/2023,,Completion,"35.45715449165644, -23.98223522965126"
222,Local Community - Disadvantaged Population Enhanced,Pounds [Thousands] per person (£k / person),260,360,206,Source_1,Darius Hernandez,11/03/2023,03/09/2023,25/07/2023,Weekly,G,Project_Delta,20/06/2023,,In-Progress,"33.77271345869029, -25.811490845653488"
223,Non-Residential Area (Transport) - Bus Stations Created,Number,69,58,63,Source_4,Mrs. Amy Roberts,05/09/2023,14/10/2023,30/09/2023,Monthly,R,Project_Hotel,16/07/2023,,Not Started,"37.1051813668468, -21.22268660203506"
224,Flood Risk (Coastal) Better Protected,Hectare (ha),370,288,24,Source_3,Marcus Calderon,26/08/2023,05/12/2023,27/11/2023,Fortnightly,R,Project_Echo,22/06/2023,,Not Started,"34.132533350398354, -24.901902814260254"
225,Non-Residential Area (Commerce) - Sports Centres Created,Number,5,3,4,Source_1,Brianna Little,28/07/2023,16/10/2023,13/09/2023,Fortnightly,R,Project_Delta,30/06/2023,,Not Started,"33.29245292170227, -25.812359335035918"
226,Non-Residential Area (Public Services) - Nurseries Better Protected,Number,4,4,2,Source_1,Ana Jones,22/12/2022,05/01/2023,23/12/2022,Fortnightly,G,Project_Golf,19/06/2023,,Completion,"36.6870209362493, -22.60070669443613"
227,Non-Residential Area (Public Services) - Schools (Primary) Created,Number,0,3,1,Source_1,James Walters,13/07/2023,09/08/2023,21/07/2023,Weekly,R,Project_Foxtrot,21/06/2023,,Not Started,"35.34507584588209, -23.741878698182024"
228,Residential Area - Houses Enhanced,Number,4114,3600,3469,Source_2,Larry Sullivan,05/04/2023,09/09/2023,08/10/2023,Daily,G,Project_Alpha,19/06/2023,,In-Progress,"30.87479040117626, -28.47369996589568"
229,Non-Residential Area (Utility) - Oil and Gas Storage and Distribution Buildings Enhanced,Number,8,8,8,Source_1,Rodney Moore PhD,16/05/2023,04/12/2023,11/11/2023,Quarterly,G,Project_Alpha,20/06/2023,,In-Progress,"30.50501086957678, -28.065837941404645"
230,Non-Residential Area (Public Services) - Post Offices Enhanced,Number,9,8,1,Source_3,Darius Hernandez,22/06/2023,13/08/2023,22/09/2023,Weekly,A,Project_Delta,19/06/2023,,Not Started,"33.31112611664169, -25.440919960842848"
231,Transport - Local Roads Enhanced,Kilometre (km),437,360,487,Source_1,Laura Turner,07/03/2023,16/06/2023,16/05/2023,Monthly,G,Project_Delta,10/07/2023,,In-Progress,"33.705865349449866, -25.611532161451958"
232,Flood Risk (Rivers) Better Protected,Hectare (ha),512,360,76,Source_1,Lori Perez,20/12/2022,19/07/2023,08/07/2023,Daily,G,Project_Charlie,19/06/2023,,Completion,"32.34162422807232, -26.851492035222414"
233,Residential Area - Mixed Better Protected,Number,4316,5040,1407,Source_1,Darius Hernandez,07/04/2023,05/07/2023,15/06/2023,Quarterly,R,Project_Delta,23/07/2023,,In-Progress,"33.792564683781, -25.60009329457572"
234,Non-Residential Area (Transport) - Ports and Harbours Better Protected,Number,0,2,1,Source_1,Meredith Abbott,14/09/2023,26/10/2023,19/11/2023,Weekly,R,Project_Foxtrot,21/06/2023,,Not Started,"35.81208799478919, -23.597107731191244"
235,Financial Damages (Lost Opportunity) Reduced,Pounds [Thousands] (£k),217,144,169,Source_3,Andrew Valentine,26/06/2023,30/12/2023,21/11/2023,Weekly,R,Project_Bravo,25/06/2023,,Not Started,"31.614820778293588, -27.092163173420435"
236,Non-Residential Area (Public Services) - Schools (Secondary) Enhanced,Number,3,2,1,Source_2,Rodney Moore PhD,11/04/2023,03/07/2023,13/06/2023,Weekly,A,Project_Alpha,22/06/2023,,In-Progress,"30.103918782011796, -28.02040400077738"
237,Heritage - Conservation Area Enhanced,Hectare (ha),4936,3600,4616,Source_1,Mckenzie Browning,29/09/2023,23/10/2023,03/12/2023,Fortnightly,R,Project_Delta,29/06/2023,,Not Started,"33.43198550770001, -25.35208700386169"
238,Non-Residential Area (Public Services) - Hospitals Created,Number,0,3,3,Source_1,Rodney Moore PhD,06/09/2023,07/11/2023,19/09/2023,Weekly,R,Project_Alpha,21/06/2023,,Not Started,"30.25961468912823, -28.925729006200456"
239,Heritage - Conservation Area Enhanced,Hectare (ha),4936,3600,4193,Source_1,Brittney Johnson,13/08/2023,23/10/2023,03/12/2023,Monthly,A,Project_Charlie,19/06/2023,,Not Started,"32.44960896566767, -26.38357596885682"
240,Non-Residential Area (Public Services) - Schools (Primary) Enhanced,Number,0,3,2,Source_1,Johnny Hernandez DDS,12/07/2023,09/08/2023,21/07/2023,Monthly,R,Project_Bravo,21/06/2023,,Not Started,"31.139226040351566, -27.051173944287893"
241,Non-Residential Area (Public Services) - Libraries Enhanced,Number,7,6,0,Source_2,Brandon Wood,09/03/2023,19/06/2023,09/07/2023,Weekly,A,Project_Golf,23/06/2023,,In-Progress,"36.46148105327914, -22.185515524059046"
242,Biodiversity - Coastal Better Protected,Hectare (ha),489,576,131,Source_3,Andrew Valentine,12/01/2023,26/08/2023,20/08/2023,Fortnightly,G,Project_Bravo,25/06/2023,,Completion,"31.95083902753684, -27.300484373401805"
243,Non-Residential Area (Public Services) - Fire Stations Created,Number,3,2,2,Source_2,Kenneth Shields,18/02/2023,24/07/2023,25/09/2023,Monthly,G,Project_Alpha,01/07/2023,,Completion,"30.817400223482178, -28.77288606320117"
244,Non-Residential Area (Commerce) - Shops Created,Number,215,144,133,Source_2,Rachel Smith,28/02/2023,16/03/2023,18/03/2023,Daily,G,Project_Charlie,19/06/2023,,Completion,"32.48431574933118, -26.69300801762586"
245,Financial Damages (Lost Opportunity) Reduced,Pounds [Thousands] (£k),217,144,10,Source_2,Kenneth Shields,17/01/2023,30/12/2023,21/11/2023,Weekly,G,Project_Alpha,23/06/2023,,In-Progress,"30.949426462886358, -28.74002243038307"
246,Heritage - Listed Building Better Protected,Number,0,1,1,Source_3,Juan Ramirez,20/03/2023,16/05/2023,05/05/2023,Fortnightly,G,Project_Hotel,23/06/2023,,Completion,"37.87265010030268, -21.801701631747743"
247,Non-Residential Area (Commerce) - Swimming Pools Better Protected,Number,5,3,1,Source_1,Lori Perez,17/02/2023,24/06/2023,07/07/2023,Quarterly,G,Project_Charlie,12/09/2023,,Completion,"32.71068303454407, -26.98686236549584"
248,Flood Risk (Coastal) Better Protected,Hectare (ha),370,288,10,Source_1,Tracey King,12/06/2023,05/12/2023,27/11/2023,Fortnightly,G,Project_Bravo,23/06/2023,,In-Progress,"31.421924157767858, -27.728020826015516"
249,Financial Damages (Lost Opportunity) Reduced,Pounds [Thousands] (£k),217,144,26,Source_1,Ana Jones,23/01/2023,30/12/2023,21/11/2023,Quarterly,G,Project_Golf,05/09/2023,,Completion,"36.14184785515539, -22.9292620770399"
250,Financial Damages (Environmental) Reduced,Pounds [Thousands] (£k),204,144,87,Source_1,Brandon Wood,16/01/2023,11/11/2023,21/10/2023,Fortnightly,G,Project_Golf,21/06/2023,,Completion,"36.02172677168562, -22.250982499407854"
